from_version,to_version,route_type,raw_fret_distance,adjusted_route_cost,total_score,explanation,review_status
bh-5432-five-c-source,bh-5432-four-c-source,best_playable_route,5.0,1.0,99.0,"Source fingerings appear 5.0 frets apart. Evaluated 4 realization pairs; bh-5432-five-c-source-source to bh-5432-four-c-source-adjacent-string-set yields route cost 1.0, with explicit string-set/B-string handling.",needs_review
bh-5432-five-c-source,bh-5432-four-c-source,intentional_register_shift,5.0,11.0,82.0,"A larger 10.0-fret route from strings 3,4,5 is retained as a deliberate register change; it is expressive repositioning, not the lowest-cost connection.",needs_review
bh-5432-four-c-source,bh-5432-three-c-source,best_playable_route,3.0,3.0,97.0,"Source fingerings appear 3.0 frets apart. Evaluated 4 realization pairs; bh-5432-four-c-source-source to bh-5432-three-c-source-source yields route cost 3.0, with explicit string-set/B-string handling.",needs_review
bh-5432-four-c-source,bh-5432-three-c-source,intentional_register_shift,3.0,9.0,82.0,"A larger 8.0-fret route from strings 3,4,5 is retained as a deliberate register change; it is expressive repositioning, not the lowest-cost connection.",needs_review
