slug,title,source_type,authority_level,citation,repository_path,content_hash,claim_count
governing-bootstrap-prompt,Highlander database governing prompt,prompt,canonical,User-supplied implementation brief,,,1
highlander-constitution,Highlander Constitution,curated_manifest,canonical,docs/highlander_constitution.md,docs/highlander_constitution.md,f7c6fc8efce1e0e96dfad28e993356f3f902e25494b11af0764a7126e75529fb,2
minor-pent-guardrail-doctrine,Minor Pentatonic Guardrail Doctrine,curated_manifest,canonical,fixtures/minor_pent_guardrail_doctrine.yaml,fixtures/minor_pent_guardrail_doctrine.yaml,c0cb5b785d736220e362a0b264c8e8191abd3a85460a2d312a457e79202bd47a,0
air-mail-external-claims,Air Mail Special External Claims,curated_manifest,external,exports/air_mail_special_external_claims.csv,exports/air_mail_special_external_claims.csv,3b2b3622080c74243c05c55531b17924ca73a4dd4c176b41bf38b6c6582fbbc5,1
take-five-play-this-inventory,Take Five Play This Inventory,curated_manifest,highlander,exports/take_five_play_this_inventory.csv,exports/take_five_play_this_inventory.csv,7b7181c5635b2c3cc4b678cf9e0c31730e26e471ae837f7f385c15a7bbda30cb,0
take-five-teachable-moments,Take Five Teachable Moments,curated_manifest,highlander,exports/take_five_teachable_moments.csv,exports/take_five_teachable_moments.csv,6c8730c9db2825009bd1cebc0aea1e65059e6daffbc9c1a9789f5f44f0bbfb5e,0
