tune,track,measure,beat,original_voicing,removed_x_string,resulting_sounding_voicing,removed_event_count
Bright Sunny South,Rhythm / Backing Chords,multiple,multiple,dead-note flags embedded in user chord voicings,flagged strings only,all non-X notes on each beat retained,12
Can't You Hear Me Calling BH5432 Review,Rhythm / Backing Chords,multiple,multiple,dead-note flags embedded in user chord voicings,flagged strings only,all non-X notes on each beat retained,27
"Perfume, Powder and Lead BH5432 Review",Rhythm / Backing Chords,multiple,multiple,dead-note flags embedded in user chord voicings,flagged strings only,all non-X notes on each beat retained,42
Rank Strangers BH5432 Review,Rhythm / Backing Chords,multiple,multiple,dead-note flags embedded in user chord voicings,flagged strings only,all non-X notes on each beat retained,11
Somehow Tonight BH5432 Review,Rhythm / Backing Chords,multiple,multiple,dead-note flags embedded in user chord voicings,flagged strings only,all non-X notes on each beat retained,45
Southern Flavor,Rhythm / Backing Chords,multiple,multiple,dead-note flags embedded in user chord voicings,flagged strings only,all non-X notes on each beat retained,15
