original_absolute_path,source_filename,file_type,source_sha256,modified_date,matched_canonical_tune,match_confidence,import_status,repair_status,measure_count,track_count,source_notes
C:\Users\highl\OneDrive\Desktop\Tabs\walls-of-time.tg,walls-of-time.tg,.tg,49309abaf32b5dc91ed9ce243cb0dd9136da53168b507146382957a43ea00a52,1784335291.0840158,Walls of Time,1.00,working_copy_retained,not_overwritten; canonical scaffold built separately,49,2,1629
C:\Users\highl\OneDrive\Desktop\Tabs\walls-of-time.musicxml,walls-of-time.musicxml,.musicxml,1f72c0de6bf936f31fa8dc52f3409b951380cb9d2d31c94bbb1114932e3baaa6,1784328270.139564,Walls of Time,1.00,working_copy_retained,not_overwritten; canonical scaffold built separately,not audited,0,0
C:\Users\highl\OneDrive\Desktop\Tabs\i-feel-the-blues-movin-in.tg,i-feel-the-blues-movin-in.tg,.tg,a0d6b19c40d884c5b66b223a8831c7c58f7b5490d29a0b097e0202b03e8141fd,1785471114.7434363,I Feel the Blues Movin' In,1.00,working_copy_retained,not_overwritten; canonical scaffold built separately,25,1,115
C:\Users\highl\OneDrive\Desktop\Tabs\trail-of-tears.tg,trail-of-tears.tg,.tg,f598ba0191c6a27315ace697a9413c14c6c7180c6981a63e7a0798ee3567eb91,1783789424.7274356,Trail of Tears,1.00,working_copy_retained,not_overwritten; canonical scaffold built separately,14,1,117
C:\Users\highl\OneDrive\Desktop\Tabs\bright-sunny-south.tg,bright-sunny-south.tg,.tg,1f5978f19c9cef711d91ccad0594537c5c0f82c53719642f8f92745e7ce96c70,1781272244.3917468,Bright Sunny South,1.00,working_copy_retained,not_overwritten; canonical scaffold built separately,18,1,35
C:\Users\highl\OneDrive\Desktop\Tabs\dixie-hoedown.tg,dixie-hoedown.tg,.tg,a2c74137558667e8cbd59b7824c1d23e10270cf68d481a1554ee76fd47de8487,1776462801.0366795,Dear Old Dixie,0.35,uncertain_supporting_candidate_only,not merged; user review required,17,1,272
