track_id,track_name,measure_count,sounding_event_count,note_count,chord_event_count,root_bass_note_count,duration_histogram,onset_histogram,rests,measures_repeated_attacks,measures_one_sustained_chord,split_measure_activity,syncopated_events,tie_count,unique_voicing_count,maximum_silent_span,percent_measures_active,sha256,file,modified_time,selection
1,Rhythm / Backing Chords,20,214,786,0,110,"{""2.0"": 141, ""4.0"": 73}","{""0"": 18, ""12"": 17, ""14"": 17, ""16"": 18, ""20"": 18, ""22"": 17, ""24"": 18, ""28"": 18, ""30"": 18, ""4"": 18, ""6"": 18, ""8"": 19}",10,18,0,18,141,0,16,not-derived,95.0,36b3d837697252665de026aa26845ad183ea6a1a7aeea79a766ef7ebf8b1af85,reviews\setlist\i_feel_the_blues_movin_in\bh_5432_review\i-feel-the-blues-movin-in-BH5432-Review.tg,2026-08-01T06:32:37.154578,candidate
1,Rhythm / Backing Chords,20,21,103,0,19,"{""16.0"": 4, ""32.0"": 17}","{""24"": 2, ""8"": 19}",0,2,17,2,0,0,3,not-derived,95.0,d9de0654ef23a3246b66d9a2b7d6522ed7d018faef6411e848c8e74c2be143e6,reviews\setlist\i_feel_the_blues_movin_in\canonical\i-feel-the-blues-movin-in.tg,2026-08-01T06:32:38.697805,candidate
1,Rhythm / Backing Chords,20,21,103,0,19,"{""16.0"": 4, ""32.0"": 17}","{""24"": 2, ""8"": 19}",0,2,17,2,0,0,3,not-derived,95.0,ed50156bbabf1c2cb7484555d0b3a8cd67d0bfab90fe9c32b1998a8086d78e27,reviews\setlist\i_feel_the_blues_movin_in\phrase_review\i-feel-the-blues-movin-in-Phrase-Review.tg,2026-08-01T06:44:12.706203,candidate
1,Rhythm / Backing Chords,32,102,454,0,88,"{""1.3333333333333333"": 4, ""16.0"": 22, ""2.6666666666666665"": 4, ""4.0"": 59, ""8.0"": 13}","{""0"": 14, ""10"": 2, ""12"": 6, ""13"": 2, ""16"": 18, ""20"": 8, ""24"": 16, ""28"": 8, ""4"": 8, ""8"": 18, ""9"": 2}",11,30,0,30,36,0,10,not-derived,100.0,78ea885292062fb6cbb5a04ff7862d97cad7b4c77c1c28cdd39a3f97fc6de2c7,reviews\setlist\perfume_powder_and_lead\bh_5432_review\perfume-powder-and-lead-BH5432-Review.tg,2026-08-01T06:32:39.216620,candidate
1,Rhythm / Backing Chords,11,12,58,0,10,"{""16.0"": 4, ""32.0"": 8}","{""24"": 2, ""8"": 10}",0,2,8,2,0,0,3,not-derived,90.91,eb3a7f37cde934971f79934970feeb56b347a7f1ec51fc4389d04a9db1c0bef7,reviews\setlist\perfume_powder_and_lead\canonical\perfume-powder-and-lead.tg,2026-08-01T06:32:40.659876,candidate
1,Rhythm / Backing Chords,11,12,58,0,10,"{""16.0"": 4, ""32.0"": 8}","{""24"": 2, ""8"": 10}",0,2,8,2,0,0,3,not-derived,90.91,453415ec8ee38e8f73901ca2121ff68d72685c072611fc467eefaed9386bd5f6,reviews\setlist\perfume_powder_and_lead\phrase_review\perfume-powder-and-lead-Phrase-Review.tg,2026-08-01T06:44:12.764230,candidate
1,Rhythm / Backing Chords,81,305,1250,0,252,"{""0.6666666666666666"": 2, ""1.0"": 3, ""1.3333333333333333"": 2, ""2.0"": 154, ""4.0"": 141, ""8.0"": 3}","{""0"": 29, ""1"": 1, ""10"": 11, ""11"": 1, ""12"": 26, ""13"": 1, ""14"": 11, ""15"": 2, ""16"": 27, ""17"": 1, ""18"": 9, ""2"": 9, ""20"": 26, ""22"": 9, ""24"": 27, ""26"": 9, ""27"": 1, ""28"": 26, ""29"": 1, ""3"": 1, ""30"": 7, ""31"": 1, ""4"": 28, ""5"": 1, ""6"": 11, ""8"": 28, ""9"": 1}",119,39,0,39,194,3,29,not-derived,50.62,66fabef28307ffb129aa1ad4c66b04a728fc5820ccaa19bbaa5a9e7714e97248,reviews\setlist\rank_strangers\bh_5432_review\rank-strangers-BH5432-Review.tg,2026-08-01T06:32:41.345657,candidate
1,Rhythm / Backing Chords,58,57,280,0,52,"{""32.0"": 57}","{""8"": 57}",0,0,57,0,0,0,6,not-derived,98.28,eb07ad47127d851373700dd0e6691bd801992304a7db4a7eb7a79dafc8641f2d,reviews\setlist\rank_strangers\canonical\rank-strangers.tg,2026-08-01T06:32:42.928355,candidate
1,Rhythm / Backing Chords,58,57,280,0,52,"{""32.0"": 57}","{""8"": 57}",0,0,57,0,0,0,6,not-derived,98.28,244c9acf10354a264d569b7e8e1129098e0a8b0a1bf98612f3410d68146cc82d,reviews\setlist\rank_strangers\phrase_review\rank-strangers-Phrase-Review.tg,2026-08-01T06:44:12.793196,candidate
1,Rhythm / Backing Chords,44,64,325,0,69,"{""16.0"": 32, ""8.0"": 32}","{""0"": 16, ""16"": 16, ""24"": 16, ""8"": 16}",29,32,0,32,0,0,5,not-derived,72.73,3a69c7c796b6565e6a422dc406bca997850f14d170656318b15e87fd29c40a81,reviews\setlist\sarafina\bh_5432_review\sarafina-BH5432-Review.tg,2026-08-01T06:32:43.623662,candidate
