path,sha256,modified_time,track_names,track_count,measure_count,note_event_count
output\etude_corpus\repair_snapshot_20260801_phase_bc\arpeggios\bm7_to_cmaj7_dorian.tg,835584b5519cbd44e28b201954c81da00ef67498588481e5f68b617f318b6429,1785591244.0814028,Bm7 to Cmaj7 Arpeggio Weave in A Dorian | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\form_navigation\happy_birthday_outline_to_etude.tg,36177d80bf4370cd2e363df3c538f2f154d4e7a5a2253b806e32aabb08f44136,1785591244.1351204,Form Outline to Eighth-Note Etude | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\intervallic\d_dorian_diatonic_fourths.tg,bb5ca24abd26436d0fa9b6c03f0790edefbf2a4c45368c2ac4fb398d3a99e258,1785591243.8718925,D Dorian Diatonic Fourth Cells | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,156
output\etude_corpus\repair_snapshot_20260801_phase_bc\intervallic\jim_hall_fourths_through_251.tg,4dc1bbfcc236d9b20f87320e92f229f29e056977667383d46eaaaaa177ca1647,1785591244.0284772,Jim Hall Fourths Through ii-V-I | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\minor_harmony\g_dorian_arrival_color.tg,2f60070e521ceca54f49df7a1a37c0266651ad4ce59a82540094e9a0df78d6b6,1785591243.9152606,G Dorian Arrival Color in Minor ii-V-i | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\minor_harmony\one_minor_across_minor_251.tg,7c85361fce37c7c996bac84f390df8a537661240a2a168c6908c632f1119fd23,1785591243.9448938,One Minor Sound Across Minor ii-V-i | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\modal\a_dorian_four_dominant.tg,38d7cac6c0d2da2b91c42ef411fadae83e213b2116b71a1965eca0d92dd6fcf8,1785591244.054622,A Dorian via the IV Dominant Sound | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\modal\a_melodic_minor_contrast.tg,ff79f3dee053dc393f580593e2962631a8ff326c9936f2032788ed745ae4cb6a,1785591244.1084533,A Melodic Minor Contrast Against A Dorian | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\upper_structures\abmaj7_over_bb7.tg,fe9a0f653536b4ae7481a78213035fee4f36a06a91f9746493f0668fcae74f25,1785591243.972828,Abmaj7 Upper Structure Over Bb7 | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,164
output\etude_corpus\repair_snapshot_20260801_phase_bc\upper_structures\g_minor_pentatonic_over_ebmaj7.tg,38656093b514d2896682eab9c1995f320b860c52f28d0a557a0a64fdb63c2a3e,1785603983.6047232,G Minor Pentatonic Color Over Ebmaj7 | TEAL Rhythm — compact | Bass — roots and fifths | Drums — count-in and groove,4,40,168
