file,track_role,measure,chord_symbol,allowed_pitch_classes,actual_pitch_classes,illegal_pitch_classes,status
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,9,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,10,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,1,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,2,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,3,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,4,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,5,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,6,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,7,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,8,F,C F A,C F A,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,9,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,rhythm,10,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,3,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,4,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,5,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,6,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,7,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,8,F,C F A,C F,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,9,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,10,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,1,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,2,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,3,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,4,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,5,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,6,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,7,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,8,F,C F A,C F A,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,9,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,10,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,11,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,12,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,13,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,14,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,15,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,16,F,C F A,C F A,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,17,G7,D F G B,F G B,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,rhythm,18,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,3,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,4,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,5,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,6,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,7,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,8,F,C F A,C F,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,9,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,10,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,11,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,12,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,13,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,14,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,15,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,16,F,C F A,C F,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,17,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10d_happy_birthday_d.tg,bass,18,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,1,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,2,C,C E G,C E G,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,3,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,4,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,5,D,D F#/Gb A,D F#/Gb A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,6,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,7,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,8,E,E G#/Ab B,E G#/Ab B,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,9,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,10,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,11,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,12,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,13,D,D F#/Gb A,D F#/Gb A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,14,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,15,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,16,E,E G#/Ab B,E G#/Ab B,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,17,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,18,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,19,D,D F#/Gb A,D F#/Gb A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,20,D,D F#/Gb A,D F#/Gb A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,21,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,22,A,C#/Db E A,C#/Db E A,,PASS
output\etude_corpus\form_navigation\e11a_lonesome_whistle_a.tg,rhythm,23,A,C#/Db E A,C#/Db E A,,PASS
